Ind,Sire,Dam
LA_N203,NC_sire,R09_dam
LA_N204,NC_sire,R09_dam
LA_N208,NC_sire,R09_dam
LA_N214,NC_sire,R09_dam
LA_N232,NC_sire,R09_dam
LA_N233,NC_sire,R09_dam
LA_N238,NC_sire,R09_dam
LA_N251,NC_sire,R09_dam
LA_N288,NC_sire,R09_dam
LA_N359,NC_sire,R08_dam
LA_N360,NC_sire,R08_dam
LA_N383,NC_sire,R08_dam
LA_N414,NC_sire,R08_dam
LA_N473,NC_sire,R08_dam
LA_N520,NC_sire,R08_dam
LA_N539,NC_sire,R08_dam
LA_N541,NC_sire,R08_dam
LA_N600,NA_sire,R13_dam
LA_N618,NA_sire,R13_dam
LA_N624,NA_sire,R13_dam
LA_N659,NA_sire,R13_dam
LA_N683,NA_sire,R13_dam
LA_N709,NA_sire,R13_dam
LA_N750,NA_sire,R13_dam
LA_N751,NA_sire,R13_dam
LA_N762,NA_sire,R13_dam
LA_N771,NA_sire,R13_dam
LA_N774,NA_sire,R13_dam
LA_N793,NA_sire,R13_dam
LA_N800,NA_sire,R13_dam
LA_N817,NA_sire,R13_dam
LA_N857,NA_sire,R13_dam
LA_N858,NA_sire,R13_dam
LA_N875,NA_sire,R13_dam
LA_N889,NA_sire,R13_dam
LV_Q300,RR07_sire,RR33_dam
LV_Q506,RR07_sire,RR33_dam
LV_Q510,RR07_sire,RR33_dam
LV_Q528,RR07_sire,RR33_dam
LV_Q565,RR07_sire,RR33_dam
LV_Q624,RR05_sire,RR22_dam
LV_Q643,RR05_sire,RR22_dam
LV_R106,RR08_sire,RR37_dam
LV_R182,RR08_sire,RR37_dam
LV_R202,RR08_sire,RR37_dam
LV_R288,RR08_sire,RR37_dam
LV_R514,RR09_sire,RR41_dam
LV_R616,RR11_sire,RR52_dam
LV_R629,RR11_sire,RR52_dam
LV_R632,RR11_sire,RR52_dam
LV_R643,RR11_sire,RR52_dam
LV_R710,RR11_sire,RR52_dam
LV_R732,RR11_sire,RR52_dam
LV_R735,RR11_sire,RR52_dam
LV_R769,RR11_sire,RR52_dam
LV_R775,RR11_sire,RR52_dam
LV_R845,RR11_sire,RR52_dam
LV_R872,RR11_sire,RR52_dam
LV_S469,RC_sire,N07_dam
LV_S474,RC_sire,N07_dam
LV_S479,RC_sire,N07_dam
LV_S669,RB_sire,N06_dam
LV_S691,RB_sire,N06_dam
LV_T344,JB_sire,C05_dam
LV_T351,JB_sire,C05_dam
LV_T359,JB_sire,C05_dam
LV_T382,JB_sire,C05_dam
LV_T423,JB_sire,C05_dam
LV_T456,JB_sire,C05_dam
LV_T659,YA_sire,C15_dam
LV_T748,YA_sire,C15_dam
LV_T795,YA_sire,C15_dam
LV_T829,YA_sire,C15_dam
LV_T837,YA_sire,C15_dam
LV_T841,YA_sire,C15_dam
LV_T846,YA_sire,C15_dam
LV_T852,YA_sire,C15_dam
LV_T866,YA_sire,C15_dam
LV_U007,102_D_sire,102_4_dam
LV_U041,102_D_sire,102_4_dam
LV_U051,102_D_sire,102_4_dam
LV_U079,102_D_sire,102_4_dam
LV_U153,102_D_sire,102_4_dam
LV_U176,102_D_sire,102_4_dam
LV_U204,102_D_sire,102_4_dam
LV_U236,102_D_sire,102_4_dam
LV_U252,102_D_sire,102_4_dam
LV_U272,102_D_sire,102_4_dam
LV_U282,102_D_sire,102_4_dam
