"AnimalID","Sire","Dam","shell_color","poolID","famID","ABT","WW","ABT_t","gender","ABT_t_converted"
"FE_N452","RA_sire","R14_dam",2,6,"fam_86",28.26,31.46,-0.8757,1,-0.885668516683683
"FE_N484","RA_sire","R14_dam",2,6,"fam_86",29.45,28.42,0.0338,2,0.0299403198247677
"FE_N490","RA_sire","R14_dam",2,6,"fam_86",27.3,27.17,-1.7341,1,-1.77176773209635
"FE_N500","RA_sire","R14_dam",2,6,"fam_86",29.57,30.7,0.1336,2,0.130087985803812
"FE_N537","RA_sire","R14_dam",2,6,"fam_86",28.97,46.86,-0.3175,2,-0.322841493870049
"FE_N547","RA_sire","R14_dam",2,6,"fam_86",28.3,33.56,-0.8299,1,-0.839348302319338
"FE_N909","RA_sire","R01_dam",2,6,"fam_44",29.49,21.51,0.0736,2,0.069907208113003
"FE_N912","RA_sire","R01_dam",2,6,"fam_44",29.52,30.07,0.1016,2,0.0979468192684425
"FE_N922","RA_sire","R01_dam",2,6,"fam_44",28.88,21.24,-0.4002,2,-0.406039774612735
"FE_N925","RA_sire","R01_dam",2,6,"fam_44",30.46,16.57,0.8132,1,0.811292959542069
"FE_N926","RA_sire","R01_dam",2,6,"fam_44",30.39,25.25,0.775,2,0.773053961585312
"FE_N951","RA_sire","R01_dam",2,6,"fam_44",29.02,25.29,-0.2904,1,-0.295625727631307
"FE_N953","RA_sire","R01_dam",2,6,"fam_44",27.88,18.54,-1.179,1,-1.19398438453753
"HO_A003","CC_sire","Y09_dam",1,1,"fam_9",27.43,42.19,-1.5987,1,-1.62810235300118
"HO_A004","CC_sire","Y09_dam",1,1,"fam_9",29.83,37.36,0.3321,1,0.329155420282307
"HO_A040","CC_sire","Y09_dam",1,1,"fam_9",29.59,35.34,0.1578,1,0.154280546851203
"HO_A060","CC_sire","Y09_dam",1,1,"fam_9",27.99,40.74,-1.0775,2,-1.09053463077408
"HO_A071","CC_sire","Y09_dam",1,1,"fam_9",29.38,32.98,-0.0477,1,-0.0519121084794259
"HO_A077","CC_sire","Y09_dam",1,1,"fam_9",31.77,35.55,1.8004,2,1.80129718720263
"HO_A084","CC_sire","Y09_dam",1,1,"fam_9",30.2,23.71,0.5868,1,0.584450591815193
"HO_A090","CC_sire","Y09_dam",1,1,"fam_9",29.65,34.57,0.2022,2,0.198879906408582
"HO_A128","CC_sire","Y09_dam",1,7,"fam_9",27.08,68.99,-2.1234,2,-2.21050601266072
"HO_A160","CC_sire","Y09_dam",1,7,"fam_0",30.23,0,0.6202,2,0.617925871798512
"HO_A163","CC_sire","Y09_dam",1,7,"fam_9",29.89,18.52,0.3638,1,0.360928542085188
"HO_A208","CC_sire","Y09_dam",1,7,"fam_9",30.82,67.28,1.1212,2,1.11994112101445
"HO_A216","CC_sire","Y09_dam",1,7,"fam_9",30.15,19.02,0.5242,1,0.521654617439191
"HO_A227","CC_sire","Y09_dam",1,7,"fam_9",28.54,34.79,-0.6154,2,-0.622764195054534
"HO_A326","CC_sire","Y09_dam",1,4,"fam_9",30.04,33.83,0.4657,2,0.46307291711285
"HO_A332","CC_sire","Y09_dam",1,4,"fam_9",29.56,57.08,0.1236,1,0.120030990286358
"HO_A342","CC_sire","Y09_dam",1,4,"fam_9",30.88,55.31,1.1439,1,1.14264813104062
"HO_A351","CC_sire","Y09_dam",1,7,"fam_9",29.39,84.29,-0.0298,1,-0.03393380488167
"HO_A363","CC_sire","Y09_dam",1,7,"fam_9",28.76,66.89,-0.4813,1,-0.487652251281942
"HO_A374","CC_sire","Y09_dam",1,7,"fam_9",28.74,37.56,-0.4947,2,-0.501183425135532
"HO_A382","CC_sire","Y09_dam",1,7,"fam_0",29.16,0,-0.2083,1,-0.213149711736448
"HO_A754","CD_sire","J25_dam",1,7,"fam_57",27.33,26.33,-1.6994,2,-1.73465152202038
"HO_B034","CC_sire","Y22_dam",1,1,"fam_68",31.4,18.11,1.464,2,1.46356770505629
"HO_B043","CC_sire","Y22_dam",1,1,"fam_68",31.08,19.83,1.2584,1,1.25742791547378
"HO_B058","CC_sire","Y22_dam",1,1,"fam_68",31.74,41.06,1.7806,2,1.78143898442708
"HO_B073","CC_sire","Y22_dam",1,1,"fam_68",30.89,24.08,1.1593,1,1.15811946738618
"HO_B074","CC_sire","Y22_dam",1,1,"fam_68",28.93,48.96,-0.3596,1,-0.365191915243078
"HO_B107","CC_sire","Y22_dam",1,7,"fam_68",30.07,54.94,0.4902,2,0.487652251281942
"HO_B197","CC_sire","Y22_dam",1,7,"fam_68",28.21,90.29,-0.9264,1,-0.93706307335426
"HO_B198","CC_sire","Y22_dam",1,7,"fam_68",30.63,67.59,0.9418,2,0.94016338895087
"HO_B215","CC_sire","Y22_dam",1,7,"fam_68",31.96,45.1,2.087,2,2.08992871341708
"HO_B228","CC_sire","Y22_dam",1,7,"fam_68",30.21,65.3,0.5963,1,0.593946688110712
"HO_B265","CC_sire","Y22_dam",1,7,"fam_68",29.88,80.69,0.3596,1,0.356671719242613
"HO_B289","CC_sire","Y22_dam",1,7,"fam_68",30.07,74.95,0.4902,1,0.487652251281942
"HO_B425","GG05_sire","GG02_dam",1,4,"fam_94",30.53,37.03,0.8583,1,0.856502762945667
"HO_B476","GG05_sire","GG02_dam",1,4,"fam_94",28.94,33.32,-0.3406,2,-0.346057685439508
"HO_B506","CD_sire","J26_dam",1,7,"fam_78",28.53,72.05,-0.6275,1,-0.634924423769693
"HO_B507","CD_sire","J26_dam",1,7,"fam_78",27.93,0,-1.1439,1,-1.15811946738618
"HO_B522","CD_sire","J26_dam",1,7,"fam_78",28,47.49,-1.0599,1,-1.07262480565533
"HO_B547","CD_sire","J26_dam",1,7,"fam_78",29.36,50.31,-0.0717,1,-0.0759103206528571
"HO_B564","CD_sire","J26_dam",1,7,"fam_0",29.22,0,-0.1759,2,-0.180591920534892
"HO_B585","CD_sire","J26_dam",1,7,"fam_78",28.27,60.03,-0.8612,1,-0.870993024563469
"HO_B586","CD_sire","J26_dam",1,7,"fam_78",30.76,76.7,1.0811,2,1.07974718222901
"HO_B633","CD_sire","J26_dam",1,1,"fam_78",29.93,31.23,0.3873,2,0.384460802559278
"HO_B656","CD_sire","J26_dam",1,1,"fam_78",28.06,37.32,-1.019,1,-1.03098517765919
"HO_B713","CD_sire","J26_dam",1,7,"fam_78",28.26,59.79,-0.8757,1,-0.885668516683683
"HO_B717","CD_sire","J26_dam",1,7,"fam_78",27.99,73.4,-1.0775,2,-1.09053463077408
"HO_B718","CD_sire","J26_dam",1,7,"fam_78",27.51,64.39,-1.5184,2,-1.54390451992525
"HO_B758","CD_sire","J26_dam",1,7,"fam_78",27.9,36.08,-1.1632,1,-1.17785729334926
"HO_B773","CD_sire","J26_dam",1,7,"fam_78",27.04,57.62,-2.337,1,-2.49098768535023
"HO_B852","CD_sire","J26_dam",1,7,"fam_78",28.41,74.2,-0.7537,2,-0.762335363841312
"HO_B898","CD_sire","J26_dam",1,7,"fam_0",32,0,2.3687,2,2.37569523050188
"HO_B911","CD_sire","J26_dam",1,1,"fam_78",28.86,35.35,-0.4132,1,-0.419077853215981
"HO_B925","CD_sire","J26_dam",1,4,"fam_78",29.4,28.07,-0.0159,2,-0.0199585564685356
"HO_B950","CD_sire","J26_dam",1,7,"fam_78",31.85,49.53,1.9774,2,1.97940255890374
"HO_B961","CD_sire","J26_dam",1,7,"fam_78",30.74,41.14,1.0565,1,1.05505258875721
"HO_B966","CD_sire","J26_dam",1,7,"fam_78",30.56,64.22,0.8845,2,0.882718220693682
"HO_B996","CD_sire","J26_dam",1,7,"fam_78",30.26,78.27,0.6642,1,0.662014727093417
"HO_C094","GG05_sire","GG02_dam",1,7,"fam_94",30.25,43.54,0.6494,2,0.647179274052951
"HO_C123","GG05_sire","GG02_dam",1,1,"fam_94",29.8,22.3,0.3029,1,0.299798040345134
"HO_C156","GG05_sire","GG02_dam",1,1,"fam_94",31.42,30.05,1.4937,2,1.49333194136054
"HO_C196","GG05_sire","GG02_dam",1,1,"fam_94",30.63,37.08,0.9418,2,0.94016338895087
"HO_C307","CC_sire","Y22_dam",1,1,"fam_68",29.86,45.77,0.3448,2,0.341823030741537
"HO_C310","CC_sire","Y22_dam",1,1,"fam_68",30.64,43.22,0.9574,2,0.955802599996442
"HO_C348","CC_sire","Y22_dam",1,4,"fam_68",30.53,54.18,0.8583,2,0.856502762945667
"HO_C350","CC_sire","Y22_dam",1,7,"fam_68",28.77,56.89,-0.4724,1,-0.478680971100629
"HO_C412","CC_sire","Y22_dam",1,1,"fam_68",28.82,27.05,-0.4437,1,-0.44978393586925
"HO_C422","CC_sire","Y22_dam",1,1,"fam_68",27.82,38.37,-1.2367,1,-1.25304018435762
"HO_C489","CC_sire","Y22_dam",1,7,"fam_68",32,67.44,2.3687,2,2.37569523050188
"HO_C529","RR06_sire","RR30_dam",1,1,"fam_98",29.71,26.82,0.243,1,0.239768724360219
"HO_C586","RR06_sire","RR30_dam",1,1,"fam_98",30.31,23.85,0.6943,2,0.692133487847842
"HO_C658","RR06_sire","RR30_dam",1,7,"fam_98",29.12,35,-0.2307,2,-0.235662891091386
"HO_C816","GG05_sire","GG02_dam",1,1,"fam_94",29.52,40.2,0.1016,2,0.0979468192684425
"HO_C831","GG05_sire","GG02_dam",1,4,"fam_94",28.34,34.95,-0.7994,2,-0.808522586798247
"HO_C870","GG05_sire","GG02_dam",1,7,"fam_94",31.57,68.94,1.6059,2,1.60597112358835
"HO_C975","RR06_sire","RR30_dam",1,7,"fam_98",29.44,41.84,0.0179,1,0.0139705164768653
"HO_D140","NC_sire","R20_dam",1,7,"fam_113",27.95,55.51,-1.1249,2,-1.13882280010492
"HO_D231","NC_sire","R20_dam",1,7,"fam_113",30.34,79.18,0.725,1,0.722893653530919
"HO_D283","NC_sire","R20_dam",1,7,"fam_113",28.62,58.33,-0.5727,1,-0.579722287827005
"HO_D477","NC_sire","R20_dam",1,7,"fam_0",30.39,0,0.775,1,0.773053961585312
"HO_D498","NC_sire","R20_dam",1,7,"fam_113",31.78,65.51,1.8209,2,1.82189224274463
"HO_D841","RR07_sire","RR35_dam",1,4,"fam_10",28.44,23.78,-0.725,2,-0.733299473365148
"HO_E055","RR02_sire","RR10_dam",1,1,"fam_5",32,21.95,2.3687,2,2.37569523050188
"HO_E091","RR02_sire","RR10_dam",1,1,"fam_5",27.42,27.14,-1.6355,2,-1.66686424846372
"HO_E532","RR01_sire","RR04_dam",1,1,"fam_2",30.77,35.82,1.0955,1,1.09415877076674
"HO_E598","RR01_sire","RR04_dam",1,1,"fam_2",30.8,33.16,1.1064,1,1.10511841945218
"HO_E834","RR01_sire","RR04_dam",1,4,"fam_2",30.25,23.62,0.6494,1,0.647179274052951
"HO_E843","RR01_sire","RR04_dam",1,4,"fam_2",28.2,24.97,-0.9387,1,-0.949519049907843
"HO_E929","RR01_sire","RR04_dam",1,4,"fam_2",29.44,22.14,0.0179,1,0.0139705164768653
"HO_E932","RR01_sire","RR04_dam",1,4,"fam_2",30.77,22.95,1.0955,1,1.09415877076674
"HU_A014","RR06_sire","RR29_dam",1,3,"fam_4",31.85,30.35,1.9774,1,1.97940255890374
"HU_A083","RR06_sire","RR29_dam",1,3,"fam_4",29.38,28.9,-0.0477,1,-0.0519121084794259
"HU_A189","RR06_sire","RR29_dam",1,7,"fam_4",29.39,56.21,-0.0298,1,-0.03393380488167
"HU_A257","RR03_sire","RR12_dam",1,3,"fam_6",28.45,45.97,-0.7044,2,-0.71256552742236
"HU_A312","RR03_sire","RR12_dam",1,7,"fam_6",28.26,75.03,-0.8757,2,-0.885668516683683
"HU_A329","RR03_sire","RR12_dam",1,3,"fam_0",28.25,0,-0.8904,1,-0.900537280667848
"HU_A353","RR03_sire","RR12_dam",1,7,"fam_6",30.59,55.87,0.9143,2,0.91257716583047
"HU_A373","RR03_sire","RR12_dam",1,7,"fam_6",30.72,49.78,1.0223,1,1.0208514148185
"HU_A479","RR04_sire","RR20_dam",1,3,"fam_7",27.81,23.76,-1.254,2,-1.27073860698951
"HU_A562","RR04_sire","RR20_dam",1,7,"fam_7",28.9,45.79,-0.3873,1,-0.393070358879647
"HU_B217","RB_sire","N05_dam",1,3,"fam_29",31.46,37.44,1.5376,1,1.53736553357678
"HU_B304","RB_sire","N05_dam",1,7,"fam_29",28.96,75.23,-0.3258,1,-0.331262969335628
"HU_B307","RB_sire","N05_dam",1,7,"fam_0",30.24,0,0.6348,2,0.632484913239043
"HU_B388","RB_sire","N05_dam",1,7,"fam_29",29.43,70.21,0.008,2,0.00399145689562563
"HU_B544","RD_sire","N10_dam",1,7,"fam_32",28.63,26.21,-0.5657,2,-0.572654012296242
"HU_B685","RC_sire","N09_dam",1,3,"fam_33",30.19,50.17,0.568,2,0.56561423191122
"HU_B736","RC_sire","N09_dam",1,7,"fam_33",30.19,41.41,0.568,2,0.56561423191122
"HU_B747","RC_sire","N09_dam",1,7,"fam_33",28.48,58.58,-0.6867,2,-0.69467157355759
"HU_B775","RC_sire","N09_dam",1,7,"fam_33",30.23,67.7,0.6202,1,0.617925871798512
"HU_B783","RC_sire","N09_dam",1,7,"fam_33",28.83,78.69,-0.4284,2,-0.434379696809412
